code;name;credits;prerequisites;corequisites;group_number;professor;day;start_hour;start_minute;end_hour;end_minute
QU1102;Laboratorio de quimica basica I;1;;QU1106;13;SOTO CORDOBA SILVIA;VIE;7;30;9;20
QU1106;Quimica basica I;3;;QU1102;1;CALLEJA AMADOR CARLOS ENRIQUE;MAR;7;30;9;20
QU1106;Quimica basica I;3;;QU1102;1;CALLEJA AMADOR CARLOS ENRIQUE;JUE;7;30;9;20
QU1106;Quimica basica I;3;;QU1102;2;PORRAS ACOSTA MARIA;MAR;7;30;9;20
QU1106;Quimica basica I;3;;QU1102;2;PORRAS ACOSTA MARIA;JUE;7;30;9;20
QU1106;Quimica basica I;3;;QU1102;3;PORRAS ACOSTA MARIA;MAR;9;30;11;20
QU1106;Quimica basica I;3;;QU1102;3;PORRAS ACOSTA MARIA;JUE;9;30;11;20
QU1106;Quimica basica I;3;;QU1102;4;PORRAS ACOSTA MARIA;MIE;9;30;11;20
QU1106;Quimica basica I;3;;QU1102;4;PORRAS ACOSTA MARIA;VIE;9;30;11;20
QU1106;Quimica basica I;3;;QU1102;5;QUIROS BUSTOS NOEMI;MAR;15;0;16;50
QU1106;Quimica basica I;3;;QU1102;5;QUIROS BUSTOS NOEMI;JUE;15;0;16;50
QU1106;Quimica basica I;3;;QU1102;6;SOTO CORDOBA SILVIA;MAR;13;0;14;50
QU1106;Quimica basica I;3;;QU1102;6;SOTO CORDOBA SILVIA;JUE;13;0;14;50
QU1106;Quimica basica I;3;;QU1102;7;VILLALTA ROMERO FABIAN;MIE;13;0;14;50
QU1106;Quimica basica I;3;;QU1102;7;VILLALTA ROMERO FABIAN;VIE;13;0;14;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;1;ABARCA GUERRERO LILLIANA;JUE;9;30;11;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;2;ABARCA GUERRERO LILLIANA;JUE;15;0;16;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;3;ARAYA MARCHENA MARIO;VIE;9;30;11;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;4;FLORES CANTILLO ADRIAN;JUE;13;0;14;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;5;HERRERA NUÑEZ JACQUELINE MARIA;MAR;13;0;14;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;6;HERRERA NUÑEZ JACQUELINE MARIA;MIE;13;0;14;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;7;MATA SOLANO ROGELIO;MAR;9;30;11;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;8;MATA SOLANO ROGELIO;MAR;13;0;14;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;9;MORA MOLINA JESUS;MAR;13;0;14;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;10;MORA MOLINA JESUS;MAR;15;0;16;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;12;ROBLES CHAVEZ DIANA;MIE;7;30;9;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;13;ROBLES CHAVEZ DIANA;MIE;9;30;11;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;14;ROBLES CHAVEZ DIANA;MIE;15;0;16;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;17;ROMERO BLANCO ERIC;JUE;13;0;14;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;18;ROMERO BLANCO ERIC;JUE;15;0;16;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;19;SALAZAR ROJAS TERESA;MIE;9;30;11;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;20;SALAZAR ROJAS TERESA;MIE;13;0;14;50
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;21;SANCHEZ KOPPER ANDRES;MAR;7;30;9;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;22;SANCHEZ KOPPER ANDRES;MAR;9;30;11;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;23;SANCHEZ KOPPER ANDRES;JUE;7;30;9;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;24;SANDOVAL MORA JOSE ALBERTO;JUE;7;30;9;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;25;SANDOVAL MORA JOSE ALBERTO;JUE;9;30;11;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;26;ULATE MOLINA RICARDO ENRIQUE;MIE;7;30;9;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;27;ULATE MOLINA RICARDO ENRIQUE;MIE;9;30;11;20
QU1104;Laboratorio de quimica basica II;1;QU1102;QU1107;28;ULATE MOLINA RICARDO ENRIQUE;MIE;13;0;14;50
QU1107;Quimica basica II;3;QU1106;QU1104;1;ARAYA CARVAJAL FABIO;MAR;7;30;9;20
QU1107;Quimica basica II;3;QU1106;QU1104;1;ARAYA CARVAJAL FABIO;JUE;7;30;9;20
QU1107;Quimica basica II;3;QU1106;QU1104;2;ARAYA CARVAJAL FABIO;MAR;13;0;14;50
QU1107;Quimica basica II;3;QU1106;QU1104;2;ARAYA CARVAJAL FABIO;JUE;13;0;14;50
QU1107;Quimica basica II;3;QU1106;QU1104;3;ARCE ROJAS HEILEN;MIE;9;30;11;20
QU1107;Quimica basica II;3;QU1106;QU1104;3;ARCE ROJAS HEILEN;VIE;9;30;11;20
QU1107;Quimica basica II;3;QU1106;QU1104;4;ARCE ROJAS HEILEN;MIE;13;0;14;50
QU1107;Quimica basica II;3;QU1106;QU1104;4;ARCE ROJAS HEILEN;VIE;13;0;14;50
QU1107;Quimica basica II;3;QU1106;QU1104;5;LEDEZMA ESPINOZA AURA;MIE;15;0;16;50
QU1107;Quimica basica II;3;QU1106;QU1104;5;LEDEZMA ESPINOZA AURA;VIE;15;0;16;50
QU1107;Quimica basica II;3;QU1106;QU1104;6;SALAS JIMENEZ JUAN CARLOS;MAR;9;30;11;20
QU1107;Quimica basica II;3;QU1106;QU1104;6;SALAS JIMENEZ JUAN CARLOS;JUE;9;30;11;20
QU1107;Quimica basica II;3;QU1106;QU1104;12;SALAS JIMENEZ JUAN CARLOS;MAR;15;0;16;50
QU1107;Quimica basica II;3;QU1106;QU1104;12;SALAS JIMENEZ JUAN CARLOS;JUE;15;0;16;50
QU1107;Quimica basica II;3;QU1106;QU1104;7;STARBIRD PEREZ RICARDO;MAR;9;30;11;20
QU1107;Quimica basica II;3;QU1106;QU1104;7;STARBIRD PEREZ RICARDO;JUE;9;30;11;20
QU1107;Quimica basica II;3;QU1106;QU1104;8;STARBIRD PEREZ RICARDO;MIE;13;0;14;50
QU1107;Quimica basica II;3;QU1106;QU1104;8;STARBIRD PEREZ RICARDO;VIE;13;0;14;50
QU1107;Quimica basica II;3;QU1106;QU1104;9;VARGAS CAMARENO MARICRUZ;MIE;7;30;9;20
QU1107;Quimica basica II;3;QU1106;QU1104;9;VARGAS CAMARENO MARICRUZ;VIE;7;30;9;20
QU1107;Quimica basica II;3;QU1106;QU1104;10;VARGAS CAMARENO MARICRUZ;MIE;9;30;11;20
QU1107;Quimica basica II;3;QU1106;QU1104;10;VARGAS CAMARENO MARICRUZ;VIE;9;30;11;20
